Type de trajet;Origine;Origine_uic;Destination;Destination_uic;Liaison;Distance (km);TGV (1 pers.) - Empreinte CO2e (kgCO2e/voyageur);TGV (3 pers.) - Empreinte CO2e (kgCO2e/voyageur);Voiture (autosolisme 1 pers.) - Empreinte CO2e (kgCO2e/voyageur);Voiture (covoiturage 3 pers.) - Empreinte CO2e (kgCO2e/voyageur)
Paris/Province;Paris Est;87113001;Metz;87192039;Paris Est - Metz;314.09;0.8511838999999999;2.5535517;60.619369999999996;20.206456666666664
Paris/Province;Paris Gare de Lyon;87686006;Saint-Étienne Châteaucreux;87726000;Paris Gare de Lyon - Saint-Étienne Châteaucreux;488.772;1.32457212;3.97371636;94.332996;31.444332
Paris/Province;Paris Est;87113001;Strasbourg;87212027;Paris Est - Strasbourg;450.58;1.2210718;3.6632154000000003;86.96194;28.987313333333333
Paris/Province;Paris Est;87113001;Thionville;87191007;Paris Est - Thionville;343.568;0.9310692799999999;2.7932078399999996;66.308624;22.10287466666666
Paris/Province;Paris Gare de Lyon;87686006;Toulon;87755009;Paris Gare de Lyon - Toulon;814.541;2.20740611;6.62221833;157.206413;52.40213766666667
Paris/Province;Paris Gare de Lyon;87686006;Annecy;87746008;Paris Gare de Lyon - Annecy;546.908;1.48212068;4.44636204;105.553244;35.18441466666666
Paris/Province;Paris Gare de Lyon;87686006;Antibes;87757674;Paris Gare de Lyon - Antibes;951.71;2.5791341;7.7374023;183.68003;61.22667666666667
Paris/Province;Paris Montparnasse;87391003;Biarritz;87673400;Paris Montparnasse - Biarritz;744.496;2.0175841599999997;6.052752479999999;143.687728;47.89590933333333
Paris/Province;Paris Gare de Lyon;87686006;Bourg-Saint-Maurice;87741793;Paris Gare de Lyon - Bourg-Saint-Maurice;636.89;1.7259719;5.1779157;122.91977;40.973256666666664
Paris/Province;Paris Gare de Lyon;87686006;Cannes;87757625;Paris Gare de Lyon - Cannes;940.691;2.54927261;7.64781783;181.55336300000002;60.51778766666666
Paris/Province;Paris Montparnasse;87391003;Dax;87673202;Paris Montparnasse - Dax;684.662;1.8554340200000001;5.56630206;132.139766;44.046588666666665
Paris/Province;Paris Gare du Nord;87271007;Douai;87345009;Paris Gare du Nord - Douai;204.104;0.55312184;1.65936552;39.392072;13.130690666666668
Paris/Province;Paris Gare de Lyon;87686006;Grenoble;87747006;Paris Gare de Lyon - Grenoble;556.09;1.5070039000000002;4.521011700000001;107.32537;35.775123333333326
Paris/Province;Paris Montparnasse;87391003;La Baule-Escoublac;87481754;Paris Montparnasse - La Baule-Escoublac;465.732;1.26213372;3.78640116;89.88627600000001;29.962092000000002
Paris/Province;Paris Montparnasse;87391003;Le Mans;87396002;Paris Montparnasse - Le Mans;201.678;0.54654738;1.63964214;38.923854;12.974617999999998
Paris/Province;Paris Gare du Nord;87271007;Lens;87345025;Paris Gare du Nord - Lens;197.942;0.53642282;1.60926846;38.202806;12.734268666666667
Paris/Province;Paris Montparnasse;87391003;Libourne;87584052;Paris Montparnasse - Libourne;525.96;1.4253516000000002;4.276054800000001;101.51028000000001;33.836760000000005
Paris/Province;Paris Gare de Lyon;87686006;Mâcon Loché TGV;87725705;Paris Gare de Lyon - Mâcon Loché TGV;365.637;0.99087627;2.97262881;70.567941;23.522646999999996
Paris/Province;Paris Gare de Lyon;87686006;Marseille Saint-Charles;87751008;Paris Gare de Lyon - Marseille Saint-Charles;750.138;2.03287398;6.098621940000001;144.77663400000003;48.258877999999996
Paris/Province;Paris Gare de Lyon;87686006;Montélimar;87764001;Paris Gare de Lyon - Montélimar;581.77;1.5765966999999999;4.7297901;112.28161;37.42720333333333
Paris/Province;Paris Gare de Lyon;87686006;Montpellier Saint-Roch;87773002;Paris Gare de Lyon - Montpellier Saint-Roch;738.861;2.00231331;6.00693993;142.600173;47.533390999999995
Paris/Province;Paris Montparnasse;87391003;Nantes;87481002;Paris Montparnasse - Nantes;385.841;1.0456291100000001;3.1368873300000004;74.46731299999999;24.822437666666666
Paris/Province;Paris Gare de Lyon;87686006;Nice;87756056;Paris Gare de Lyon - Nice;971.68;2.6332527999999997;7.8997584;187.53423999999998;62.51141333333332
Paris/Province;Paris Montparnasse;87391003;Saint-Malo;87478107;Paris Montparnasse - Saint-Malo;444.83;1.2054893;3.6164679;85.85219000000001;28.617396666666664
Paris/Province;Paris Gare de Lyon;87686006;Valence TGV Rhône-Alpes Sud;87763029;Paris Gare de Lyon - Valence TGV Rhône-Alpes Sud;527.124;1.42850604;4.28551812;101.734932;33.911644
